latitude;longitude;date
-1.126;115.173;39715
-1.127;115.163;39715
-1.355;113.575;39715
-1.168;114.782;39715
-1.341;113.598;39715
-1.058;115.476;39715
-1.786;110.466;39715
-1.153;114.748;39715
-1.316;113.619;39715
-1.132;114.829;39715
-1.144;114.747;39715
-1.306;113.618;39715
-1.384;113.072;39715
-0.931;116.098;39715
-0.932;116.089;39715
-1.165;114.459;39715
-0.919;116.115;39715
-1.637;111.036;39715
-0.899;115.936;39715
-1.067;114.771;39715
-1.263;113.352;39715
-1.27;113.223;39715
-1.559;111.217;39715
-1.561;111.198;39715
-1.093;114.387;39715
-1.324;112.693;39715
-1.315;112.677;39715
-1.074;114.307;39715
-1.102;114.037;39715
-1.104;114.026;39715
-1.118;113.923;39715
-1.104;114.032;39715
-1.045;114.364;39715
-1.047;114.353;39715
-1.182;113.425;39715
-1.276;112.71;39715
-0.934;114.996;39715
-1.229;112.718;39715
-0.945;114.643;39715
-0.973;114.375;39715
-1.031;113.964;39715
-1.033;113.952;39715
-1.021;113.962;39715
-0.828;115.217;39715
-1.014;113.872;39715
-1.015;113.861;39715
-1.091;113.341;39715
-1.095;113.316;39715
-1.036;113.647;39715
-1.038;113.635;39715
-0.985;113.927;39715
-1.16;112.715;39715
-1.024;113.584;39715
-0.841;114.79;39715
-1.019;113.546;39715
-0.827;114.756;39715
-0.582;116.408;39715
-0.969;113.693;39715
-1.398;110.43;39715
-0.277;117.317;39715
-0.517;115.527;39715
-0.518;115.517;39715
-0.263;117.164;39715
-0.289;116.786;39715
-0.305;116.488;39715
-0.306;116.479;39715
-0.548;114.544;39715
-0.188;116.911;39715
-0.434;114.934;39715
-0.435;114.924;39715
-0.477;114.629;39715
-0.453;114.704;39715
-0.139;116.68;39715
-0.58;113.625;39715
-0.582;113.613;39715
-0.381;114.931;39715
-0.413;114.709;39715
-0.415;114.698;39715
-0.104;116.793;39715
-0.235;115.371;39715
-0.239;115.342;39715
-0.189;115.558;39715
-0.23;115.272;39715
-0.928;110.418;39715
-0.207;115.367;39715
-0.208;115.357;39715
-0.196;115.375;39715
-0.198;115.365;39715
-0.202;115.268;39715
-0.126;115.685;39715
-0.185;115.28;39715
-0.086;115.765;39715
-0.088;115.755;39715
-0.077;115.763;39715
-0.059;115.827;39715
-0.071;115.744;39715
-0.499;112.692;39715
-0.054;115.732;39715
0.128;116.874;39715
-0.044;115.673;39715
-0.045;115.664;39715
-0.499;112.449;39715
-0.031;115.703;39715
-0.499;112.443;39715
-0.016;115.673;39715
-0.018;115.663;39715
-0.007;115.671;39715
-0.44;112.691;39715
0.068;116.128;39715
-0.002;115.642;39715
-0.004;115.633;39715
-0.461;112.466;39715
-0.463;112.452;39715
0.048;115.861;39715
-0.399;112.741;39715
-0.401;112.727;39715
-0.408;112.602;39715
-0.41;112.588;39715
0.122;116.249;39715
0.121;116.24;39715
0.096;116.068;39715
-0.347;112.951;39715
0.018;115.458;39715
0.017;115.449;39715
-0.34;112.923;39715
-0.342;112.91;39715
-0.348;112.919;39715
0.132;116.131;39715
0.131;116.122;39715
-0.338;112.917;39715
-0.339;112.904;39715
-0.372;112.606;39715
-0.376;112.578;39715
-0.383;112.536;39715
-0.393;112.465;39715
0.154;116.156;39715
0.153;116.147;39715
0.101;115.791;39715
0.1;115.782;39715
-0.351;112.673;39715
-0.361;112.604;39715
-0.372;112.534;39715
-0.38;112.478;39715
-0.382;112.463;39715
-0.336;112.698;39715
-0.338;112.685;39715
0.176;116.18;39715
-0.703;110.083;39715
0.09;115.518;39715
0.089;115.509;39715
-0.315;112.695;39715
-0.316;112.681;39715
-0.689;110.081;39715
-0.269;112.934;39715
-0.27;112.853;39715
-0.235;113.022;39715
-0.244;112.957;39715
-0.246;112.944;39715
-0.282;112.69;39715
0.231;116.239;39715
-0.251;112.951;39715
-0.253;112.938;39715
-0.229;113.027;39715
-0.238;112.963;39715
-0.24;112.95;39715
-0.277;112.627;39715
-0.312;112.388;39715
0.353;116.832;39715
-0.22;112.867;39715
-0.221;112.853;39715
-0.274;112.412;39715
-0.276;112.398;39715
-0.396;111.482;39715
-0.202;112.755;39715
-0.17;112.731;39715
0.249;115.54;39715
0.228;115.39;39715
0.226;115.381;39715
-0.372;111.192;39715
-0.375;111.174;39715
-0.132;112.767;39715
0.474;116.782;39715
-0.099;112.762;39715
0.394;116.028;39715
0.296;115.354;39715
0.406;116.045;39715
-0.024;112.799;39715
0.442;115.405;39715
-0.019;112.197;39715
0.469;115.401;39715
0.468;115.391;39715
0.477;115.393;39715
0.683;116.696;39715
0.692;116.695;39715
0.62;116.002;39715
0.728;116.626;39715
0.088;112.053;39715
0.777;116.841;39715
0.803;116.828;39715
0.802;116.819;39715
0.786;116.521;39715
0.821;116.635;39715
0.809;116.554;39715
0.808;116.546;39715
0.82;116.562;39715
0.891;116.863;39715
0.911;116.933;39715
0.708;115.203;39715
0.707;115.193;39715
0.281;111.976;39715
0.735;115.017;39715
0.745;115.016;39715
0.529;112.961;39715
0.38;111.939;39715
0.512;112.765;39715
0.51;112.752;39715
0.652;113.665;39715
0.651;113.653;39715
0.401;111.921;39715
0.398;111.906;39715
0.544;112.84;39715
0.105;109.588;39715
0.824;114.621;39715
0.822;114.611;39715
0.833;114.619;39715
0.534;112.594;39715
0.473;111.951;39715
0.74;113.493;39715
0.735;113.458;39715
0.745;113.457;39715
0.743;113.445;39715
0.743;113.45;39715
0.415;111.182;39715
0.721;113.086;39715
0.719;113.073;39715
0.822;113.708;39715
0.772;113.362;39715
0.77;113.35;39715
0.731;113.084;39715
0.768;113.265;39715
0.742;113.083;39715
0.711;112.869;39715
0.729;112.775;39715
0.735;112.782;39715
0.733;112.769;39715
0.768;112.933;39715
0.766;112.921;39715
0.838;113.335;39715
0.848;113.112;39715
0.826;112.963;39715
0.838;112.707;39715
0.934;113.143;39715
0.932;113.13;39715
0.746;111.769;39715
0.737;111.711;39715
0.693;111.404;39715
0.69;111.388;39715
0.487;109.988;39715
0.471;109.88;39715
0.925;112.93;39715
0.757;111.768;39715
0.739;111.643;39715
0.737;111.628;39715
0.705;111.403;39715
1.295;115.446;39715
1.294;115.437;39715
0.769;111.766;39715
0.762;111.719;39715
0.76;111.704;39715
0.758;111.688;39715
0.726;111.466;39715
1.534;117.043;39715
0.758;111.608;39715
0.747;111.529;39715
1.542;117.036;39715
0.767;111.777;39715
0.765;111.761;39715
0.756;111.7;39715
0.753;111.684;39715
0.77;111.713;39715
0.732;111.46;39715
0.779;111.696;39715
0.767;111.618;39715
0.765;111.602;39715
0.791;111.695;39715
0.788;111.679;39715
0.757;111.306;39715
0.816;111.627;39715
0.814;111.611;39715
0.812;111.596;39715
0.805;111.466;39715
0.784;111.319;39715
1.015;112.847;39715
1.029;112.87;39715
1.027;112.858;39715
0.749;110.902;39715
0.746;110.884;39715
0.741;110.848;39715
0.738;110.83;39715
1.024;112.865;39715
1.022;112.852;39715
0.845;111.681;39715
0.789;111.311;39715
0.736;110.878;39715
1.056;112.937;39715
1.054;112.924;39715
1.032;112.772;39715
1.03;112.759;39715
1.028;112.747;39715
0.751;110.894;39715
0.749;110.876;39715
0.743;110.84;39715
0.741;110.822;39715
0.732;110.768;39715
0.73;110.749;39715
1.419;115.349;39715
0.8;111.137;39715
1.043;112.705;39715
0.866;111.499;39715
0.829;111.168;39715
0.778;110.817;39715
0.775;110.798;39715
0.915;111.67;39715
0.798;110.869;39715
0.796;110.851;39715
0.839;111.061;39715
0.836;111.044;39715
0.842;111.056;39715
1.113;112.702;39715
0.849;110.856;39715
0.851;110.782;39715
0.849;110.764;39715
0.885;110.924;39715
0.869;110.817;39715
0.847;110.67;39715
1.119;112.445;39715
1.117;112.432;39715
1.115;112.418;39715
0.925;111.026;39715
0.896;110.831;39715
0.906;110.812;39715
0.978;111.227;39715
0.976;111.21;39715
0.969;111.16;39715
0.902;110.842;39715
0.899;110.824;39715
0.928;110.929;39715
0.984;111.22;39715
0.974;111.152;39715
0.896;110.637;39715
1.008;111.301;39715
1.017;111.282;39715
1.008;111.216;39715
1.02;111.214;39715
1.017;111.197;39715
1.051;111.262;39715
1.049;111.246;39715
0.86;109.795;39715
0.897;109.766;39715
0.851;109.355;39715
1.989;117.14;39715
0.861;109.329;39715
2.002;117.165;39715
2.084;117.285;39715
2.07;117.186;39715
2.127;117.135;39715
2.267;118.058;39715
2.266;118.049;39715
1.024;109.389;39715
2.22;117.53;39715
2.217;117.512;39715
2.297;117.107;39715
2.556;117.814;39715
2.579;117.795;39715
2.588;117.794;39715
2.632;117.644;39715
2.691;117.535;39715
2.624;117.069;39715
2.718;117.478;39715
2.67;117.075;39715
2.748;117.559;39715
2.808;117.003;39715
